type,GEOID,racial_majority,week,week_date,week_filings,filings_avg,last_updated
County,35055,White,100,2021-11-21,0,0.333333333333333,2023-04-08
County,35055,White,101,2021-11-28,3,1,2023-04-08
County,35055,White,102,2021-12-05,10,2.33333333333333,2023-04-08
County,35055,White,103,2021-12-12,0,0.333333333333333,2023-04-08
County,35055,White,104,2021-12-19,1,0.333333333333333,2023-04-08
County,35055,White,105,2021-12-26,1,0.333333333333333,2023-04-08
County,35055,White,106,2022-01-02,4,0.333333333333333,2023-04-08
County,35055,White,107,2022-01-09,5,1.33333333333333,2023-04-08
County,35055,White,108,2022-01-16,2,1,2023-04-08
County,35055,White,109,2022-01-23,8,0.666666666666667,2023-04-08
County,35055,White,110,2022-01-30,3,0.333333333333333,2023-04-08
County,35055,White,111,2022-02-06,10,2,2023-04-08
County,35055,White,112,2022-02-13,1,0,2023-04-08
County,35055,White,113,2022-02-20,0,0,2023-04-08
County,35055,White,114,2022-02-27,2,0.333333333333333,2023-04-08
County,35055,White,115,2022-03-06,4,2.33333333333333,2023-04-08
County,35055,White,116,2022-03-13,4,2,2023-04-08
County,35055,White,117,2022-03-20,1,0.666666666666667,2023-04-08
County,35055,White,118,2022-03-27,3,1.66666666666667,2023-04-08
County,35055,White,119,2022-04-03,0,0,2023-04-08
County,35055,White,120,2022-04-10,5,1.66666666666667,2023-04-08
County,35055,White,121,2022-04-17,0,0.666666666666667,2023-04-08
County,35055,White,122,2022-04-24,2,0.666666666666667,2023-04-08
County,35055,White,123,2022-05-01,0,1.66666666666667,2023-04-08
County,35055,White,124,2022-05-08,6,2.33333333333333,2023-04-08
County,35055,White,125,2022-05-15,1,1.33333333333333,2023-04-08
County,35055,White,126,2022-05-22,4,0.333333333333333,2023-04-08
County,35055,White,127,2022-05-29,3,0.333333333333333,2023-04-08
County,35055,White,128,2022-06-05,4,2.66666666666667,2023-04-08
County,35055,White,129,2022-06-12,1,2,2023-04-08
County,35055,White,130,2022-06-19,2,0.666666666666667,2023-04-08
County,35055,White,131,2022-06-26,2,1.33333333333333,2023-04-08
County,35055,White,132,2022-07-03,4,0.666666666666667,2023-04-08
County,35055,White,133,2022-07-10,5,2,2023-04-08
County,35055,White,134,2022-07-17,2,1.33333333333333,2023-04-08
County,35055,White,135,2022-07-24,0,1.66666666666667,2023-04-08
County,35055,White,136,2022-07-31,2,0.666666666666667,2023-04-08
County,35055,White,137,2022-08-07,8,1.33333333333333,2023-04-08
County,35055,White,138,2022-08-14,8,0.666666666666667,2023-04-08
County,35055,White,139,2022-08-21,1,0,2023-04-08
County,35055,White,140,2022-08-28,2,0,2023-04-08
County,35055,White,141,2022-09-04,2,2.66666666666667,2023-04-08
County,35055,White,142,2022-09-11,5,0,2023-04-08
County,35055,White,143,2022-09-18,1,1.66666666666667,2023-04-08
County,35055,White,144,2022-09-25,2,0.666666666666667,2023-04-08
County,35055,White,145,2022-10-02,2,1.33333333333333,2023-04-08
County,35055,White,146,2022-10-09,7,1.33333333333333,2023-04-08
County,35055,White,147,2022-10-16,3,0.666666666666667,2023-04-08
County,35055,White,148,2022-10-23,0,0.666666666666667,2023-04-08
County,35055,White,149,2022-10-30,1,1.33333333333333,2023-04-08
County,35055,White,150,2022-11-06,1,1.66666666666667,2023-04-08
County,35055,White,151,2022-11-13,2,0.333333333333333,2023-04-08
County,35055,White,152,2022-11-20,0,0,2023-04-08
County,35055,White,153,2022-11-27,4,1,2023-04-08
County,35055,White,154,2022-12-04,1,2,2023-04-08
County,35055,White,155,2022-12-11,4,1,2023-04-08
County,35055,White,156,2022-12-18,3,0.333333333333333,2023-04-08
County,35055,White,157,2022-12-25,0,0.333333333333333,2023-04-08
County,35055,White,158,2023-01-01,4,0.333333333333333,2023-04-08
County,35055,White,159,2023-01-08,14,1.33333333333333,2023-04-08
County,35055,White,160,2023-01-15,3,0.666666666666667,2023-04-08
County,35055,White,161,2023-01-22,1,1,2023-04-08
County,35055,White,162,2023-01-29,2,0.333333333333333,2023-04-08
County,35055,White,163,2023-02-05,5,1.33333333333333,2023-04-08
County,35055,White,164,2023-02-12,2,0.666666666666667,2023-04-08
County,35055,White,165,2023-02-19,0,0,2023-04-08
County,35055,White,166,2023-02-26,4,0,2023-04-08
County,35055,White,167,2023-03-05,6,2,2023-04-08
County,35055,White,168,2023-03-12,0,2.33333333333333,2023-04-08
County,35055,White,169,2023-03-19,4,1,2023-04-08
County,35055,White,170,2023-03-26,0,1.33333333333333,2023-04-08
County,35055,White,171,2023-04-02,0,0.333333333333333,2023-04-08
County,35057,White,1,2019-12-29,0,0.333333333333333,2023-04-08
County,35057,White,2,2020-01-05,0,1,2023-04-08
County,35057,White,3,2020-01-12,0,0.666666666666667,2023-04-08
County,35057,White,4,2020-01-19,3,2,2023-04-08
County,35057,White,5,2020-01-26,3,0.333333333333333,2023-04-08
County,35057,White,6,2020-02-02,3,0.333333333333333,2023-04-08
County,35057,White,7,2020-02-09,2,0.333333333333333,2023-04-08
County,35057,White,8,2020-02-16,1,0.333333333333333,2023-04-08
County,35057,White,9,2020-02-23,0,0,2023-04-08
County,35057,White,10,2020-03-01,0,0.666666666666667,2023-04-08
County,35057,White,11,2020-03-08,2,0.666666666666667,2023-04-08
County,35057,White,12,2020-03-15,0,0.333333333333333,2023-04-08
County,35057,White,13,2020-03-22,0,1,2023-04-08
County,35057,White,14,2020-03-29,0,1.66666666666667,2023-04-08
County,35057,White,15,2020-04-05,0,0.333333333333333,2023-04-08
County,35057,White,16,2020-04-12,0,0,2023-04-08
County,35057,White,17,2020-04-19,0,0,2023-04-08
County,35057,White,18,2020-04-26,0,0.666666666666667,2023-04-08
County,35057,White,19,2020-05-03,0,0.333333333333333,2023-04-08
County,35057,White,20,2020-05-10,0,1,2023-04-08
County,35057,White,21,2020-05-17,1,0.333333333333333,2023-04-08
County,35057,White,22,2020-05-24,1,1,2023-04-08
County,35057,White,23,2020-05-31,0,0.333333333333333,2023-04-08
County,35057,White,24,2020-06-07,0,1.66666666666667,2023-04-08
County,35057,White,25,2020-06-14,0,2,2023-04-08
County,35057,White,26,2020-06-21,0,0.666666666666667,2023-04-08
County,35057,White,27,2020-06-28,0,0,2023-04-08
County,35057,White,28,2020-07-05,0,1.33333333333333,2023-04-08
County,35057,White,29,2020-07-12,0,1.33333333333333,2023-04-08
County,35057,White,30,2020-07-19,0,0.666666666666667,2023-04-08
County,35057,White,31,2020-07-26,0,1,2023-04-08
County,35057,White,32,2020-08-02,1,2,2023-04-08
County,35057,White,33,2020-08-09,2,0,2023-04-08
County,35057,White,34,2020-08-16,0,0.333333333333333,2023-04-08
County,35057,White,35,2020-08-23,0,0.666666666666667,2023-04-08
County,35057,White,36,2020-08-30,0,0.333333333333333,2023-04-08
County,35057,White,37,2020-09-06,0,1,2023-04-08
County,35057,White,38,2020-09-13,1,0.666666666666667,2023-04-08
County,35057,White,39,2020-09-20,1,0.333333333333333,2023-04-08
County,35057,White,40,2020-09-27,0,0,2023-04-08
County,35057,White,41,2020-10-04,2,1,2023-04-08
County,35057,White,42,2020-10-11,1,1,2023-04-08
County,35057,White,43,2020-10-18,2,0,2023-04-08
County,35057,White,44,2020-10-25,0,0.666666666666667,2023-04-08
County,35057,White,45,2020-11-01,1,0.333333333333333,2023-04-08
County,35057,White,46,2020-11-08,4,1.66666666666667,2023-04-08
County,35057,White,47,2020-11-15,0,1.66666666666667,2023-04-08
County,35057,White,48,2020-11-22,0,0.333333333333333,2023-04-08
County,35057,White,49,2020-11-29,0,0.333333333333333,2023-04-08
County,35057,White,50,2020-12-06,2,0.666666666666667,2023-04-08
County,35057,White,51,2020-12-13,0,0.333333333333333,2023-04-08
County,35057,White,52,2020-12-20,0,0.666666666666667,2023-04-08
County,35057,White,53,2020-12-27,0,0.333333333333333,2023-04-08
County,35057,White,54,2021-01-03,0,0.666666666666667,2023-04-08
County,35057,White,55,2021-01-10,0,1.33333333333333,2023-04-08
County,35057,White,56,2021-01-17,0,1.66666666666667,2023-04-08
County,35057,White,57,2021-01-24,0,0.666666666666667,2023-04-08
County,35057,White,58,2021-01-31,0,0.333333333333333,2023-04-08
County,35057,White,59,2021-02-07,0,0,2023-04-08
County,35057,White,60,2021-02-14,0,0.333333333333333,2023-04-08
County,35057,White,61,2021-02-21,0,0.333333333333333,2023-04-08
County,35057,White,62,2021-02-28,1,0.333333333333333,2023-04-08
County,35057,White,63,2021-03-07,0,0.666666666666667,2023-04-08
County,35057,White,64,2021-03-14,0,0.666666666666667,2023-04-08
County,35057,White,65,2021-03-21,2,0.666666666666667,2023-04-08
County,35057,White,66,2021-03-28,0,2,2023-04-08
County,35057,White,67,2021-04-04,1,0,2023-04-08
County,35057,White,68,2021-04-11,0,0.333333333333333,2023-04-08
County,35057,White,69,2021-04-18,1,0,2023-04-08
County,35057,White,70,2021-04-25,0,0.666666666666667,2023-04-08
County,35057,White,71,2021-05-02,1,0.333333333333333,2023-04-08
County,35057,White,72,2021-05-09,0,1,2023-04-08
County,35057,White,73,2021-05-16,0,0,2023-04-08
County,35057,White,74,2021-05-23,0,1.33333333333333,2023-04-08
County,35057,White,75,2021-05-30,0,0.333333333333333,2023-04-08
County,35057,White,76,2021-06-06,2,1.33333333333333,2023-04-08
County,35057,White,77,2021-06-13,0,2,2023-04-08
County,35057,White,78,2021-06-20,0,1,2023-04-08
County,35057,White,79,2021-06-27,1,0,2023-04-08
County,35057,White,80,2021-07-04,0,1,2023-04-08
County,35057,White,81,2021-07-11,0,1.66666666666667,2023-04-08
County,35057,White,82,2021-07-18,0,0.666666666666667,2023-04-08
County,35057,White,83,2021-07-25,0,1,2023-04-08
County,35057,White,84,2021-08-01,2,1.66666666666667,2023-04-08
County,35057,White,85,2021-08-08,1,0.333333333333333,2023-04-08
County,35057,White,86,2021-08-15,0,0.333333333333333,2023-04-08
County,35057,White,87,2021-08-22,0,0.666666666666667,2023-04-08
County,35057,White,88,2021-08-29,0,0,2023-04-08
County,35057,White,89,2021-09-05,0,1,2023-04-08
County,35057,White,90,2021-09-12,0,1,2023-04-08
County,35057,White,91,2021-09-19,3,0.333333333333333,2023-04-08
County,35057,White,92,2021-09-26,1,0,2023-04-08
County,35057,White,93,2021-10-03,1,1,2023-04-08
County,35057,White,94,2021-10-10,0,1,2023-04-08
County,35057,White,95,2021-10-17,1,0,2023-04-08
County,35057,White,96,2021-10-24,0,0.666666666666667,2023-04-08
County,35057,White,97,2021-10-31,1,0.333333333333333,2023-04-08
County,35057,White,98,2021-11-07,0,1.33333333333333,2023-04-08
County,35057,White,99,2021-11-14,0,2,2023-04-08
County,35057,White,100,2021-11-21,0,0.333333333333333,2023-04-08
County,35057,White,101,2021-11-28,1,0.333333333333333,2023-04-08
County,35057,White,102,2021-12-05,0,0.666666666666667,2023-04-08
County,35057,White,103,2021-12-12,0,0.333333333333333,2023-04-08
County,35057,White,104,2021-12-19,0,0.666666666666667,2023-04-08
County,35057,White,105,2021-12-26,0,0.333333333333333,2023-04-08
County,35057,White,106,2022-01-02,0,0.333333333333333,2023-04-08
County,35057,White,107,2022-01-09,0,1.33333333333333,2023-04-08
County,35057,White,108,2022-01-16,1,1.33333333333333,2023-04-08
County,35057,White,109,2022-01-23,0,1.33333333333333,2023-04-08
County,35057,White,110,2022-01-30,0,0.333333333333333,2023-04-08
County,35057,White,111,2022-02-06,0,0,2023-04-08
County,35057,White,112,2022-02-13,0,0.333333333333333,2023-04-08
County,35057,White,113,2022-02-20,0,0.333333333333333,2023-04-08
County,35057,White,114,2022-02-27,1,0,2023-04-08
County,35057,White,115,2022-03-06,0,1,2023-04-08
County,35057,White,116,2022-03-13,1,0.666666666666667,2023-04-08
County,35057,White,117,2022-03-20,1,0.333333333333333,2023-04-08
County,35057,White,118,2022-03-27,0,1.33333333333333,2023-04-08
County,35057,White,119,2022-04-03,1,1,2023-04-08
County,35057,White,120,2022-04-10,0,0.333333333333333,2023-04-08
County,35057,White,121,2022-04-17,0,0,2023-04-08
County,35057,White,122,2022-04-24,0,0.666666666666667,2023-04-08
County,35057,White,123,2022-05-01,0,0.333333333333333,2023-04-08
County,35057,White,124,2022-05-08,0,0.666666666666667,2023-04-08
County,35057,White,125,2022-05-15,3,0.333333333333333,2023-04-08
County,35057,White,126,2022-05-22,1,1.33333333333333,2023-04-08
County,35057,White,127,2022-05-29,0,0,2023-04-08
County,35057,White,128,2022-06-05,2,1.66666666666667,2023-04-08
County,35057,White,129,2022-06-12,1,1.33333333333333,2023-04-08
County,35057,White,130,2022-06-19,0,1.66666666666667,2023-04-08
County,35057,White,131,2022-06-26,0,0,2023-04-08
County,35057,White,132,2022-07-03,2,1,2023-04-08
County,35057,White,133,2022-07-10,2,1.66666666666667,2023-04-08
County,35057,White,134,2022-07-17,1,0.666666666666667,2023-04-08
County,35057,White,135,2022-07-24,0,0.666666666666667,2023-04-08
County,35057,White,136,2022-07-31,1,2,2023-04-08
County,35057,White,137,2022-08-07,2,0.333333333333333,2023-04-08
County,35057,White,138,2022-08-14,0,0.333333333333333,2023-04-08
County,35057,White,139,2022-08-21,0,0.666666666666667,2023-04-08
County,35057,White,140,2022-08-28,0,0,2023-04-08
County,35057,White,141,2022-09-04,1,0.666666666666667,2023-04-08
County,35057,White,142,2022-09-11,0,1.33333333333333,2023-04-08
County,35057,White,143,2022-09-18,0,0.333333333333333,2023-04-08
County,35057,White,144,2022-09-25,2,0,2023-04-08
County,35057,White,145,2022-10-02,0,0.333333333333333,2023-04-08
County,35057,White,146,2022-10-09,1,1.33333333333333,2023-04-08
County,35057,White,147,2022-10-16,0,0.333333333333333,2023-04-08
County,35057,White,148,2022-10-23,0,0.666666666666667,2023-04-08
County,35057,White,149,2022-10-30,0,0.333333333333333,2023-04-08
County,35057,White,150,2022-11-06,0,1,2023-04-08
County,35057,White,151,2022-11-13,0,1.66666666666667,2023-04-08
County,35057,White,152,2022-11-20,1,1,2023-04-08
County,35057,White,153,2022-11-27,1,0.333333333333333,2023-04-08
County,35057,White,154,2022-12-04,1,0.666666666666667,2023-04-08
County,35057,White,155,2022-12-11,0,0,2023-04-08
County,35057,White,156,2022-12-18,0,1,2023-04-08
County,35057,White,157,2022-12-25,0,0.333333333333333,2023-04-08
County,35057,White,158,2023-01-01,0,0.333333333333333,2023-04-08
County,35057,White,159,2023-01-08,0,1.33333333333333,2023-04-08
County,35057,White,160,2023-01-15,0,1.33333333333333,2023-04-08
County,35057,White,161,2023-01-22,0,1.33333333333333,2023-04-08
County,35057,White,162,2023-01-29,3,0.333333333333333,2023-04-08
County,35057,White,163,2023-02-05,1,0,2023-04-08
County,35057,White,164,2023-02-12,0,0.333333333333333,2023-04-08
County,35057,White,165,2023-02-19,0,0.333333333333333,2023-04-08
County,35057,White,166,2023-02-26,1,0,2023-04-08
County,35057,White,167,2023-03-05,1,0.666666666666667,2023-04-08
County,35057,White,168,2023-03-12,0,1,2023-04-08
County,35057,White,169,2023-03-19,0,0.333333333333333,2023-04-08
County,35057,White,170,2023-03-26,1,1.33333333333333,2023-04-08
County,35057,White,171,2023-04-02,2,1,2023-04-08
County,35059,White,1,2019-12-29,0,0,2023-04-08
County,35059,White,2,2020-01-05,0,0,2023-04-08
County,35059,White,3,2020-01-12,0,0.333333333333333,2023-04-08
County,35059,White,4,2020-01-19,1,0,2023-04-08
County,35059,White,5,2020-01-26,0,0,2023-04-08
County,35059,White,6,2020-02-02,0,0,2023-04-08
County,35059,White,7,2020-02-09,0,0.666666666666667,2023-04-08
County,35059,White,8,2020-02-16,0,0,2023-04-08
County,35059,White,9,2020-02-23,0,1,2023-04-08
County,35059,White,10,2020-03-01,0,0.333333333333333,2023-04-08
County,35059,White,11,2020-03-08,0,0.666666666666667,2023-04-08
County,35059,White,12,2020-03-15,1,0,2023-04-08
County,35059,White,13,2020-03-22,0,0,2023-04-08
County,35059,White,14,2020-03-29,0,0,2023-04-08
County,35059,White,15,2020-04-05,0,0.333333333333333,2023-04-08
County,35059,White,16,2020-04-12,0,0,2023-04-08
County,35059,White,17,2020-04-19,0,0,2023-04-08
County,35059,White,18,2020-04-26,0,0,2023-04-08
County,35059,White,19,2020-05-03,0,0.333333333333333,2023-04-08
County,35059,White,20,2020-05-10,0,0,2023-04-08
County,35059,White,21,2020-05-17,0,0,2023-04-08
County,35059,White,22,2020-05-24,0,0,2023-04-08
County,35059,White,23,2020-05-31,0,0.333333333333333,2023-04-08
County,35059,White,24,2020-06-07,0,0,2023-04-08
County,35059,White,25,2020-06-14,0,0,2023-04-08
County,35059,White,26,2020-06-21,0,0.333333333333333,2023-04-08
County,35059,White,27,2020-06-28,0,0,2023-04-08
County,35059,White,28,2020-07-05,0,0,2023-04-08
County,35059,White,29,2020-07-12,0,0,2023-04-08
County,35059,White,30,2020-07-19,0,0.666666666666667,2023-04-08
County,35059,White,31,2020-07-26,0,0,2023-04-08
County,35059,White,32,2020-08-02,0,0.666666666666667,2023-04-08
County,35059,White,33,2020-08-09,0,0,2023-04-08
County,35059,White,34,2020-08-16,0,0,2023-04-08
County,35059,White,35,2020-08-23,0,0,2023-04-08
County,35059,White,36,2020-08-30,0,0,2023-04-08
County,35059,White,37,2020-09-06,0,0.666666666666667,2023-04-08
County,35059,White,38,2020-09-13,0,0,2023-04-08
County,35059,White,39,2020-09-20,0,0,2023-04-08
County,35059,White,40,2020-09-27,0,0,2023-04-08
County,35059,White,41,2020-10-04,0,0,2023-04-08
County,35059,White,42,2020-10-11,0,0,2023-04-08
County,35059,White,43,2020-10-18,0,0,2023-04-08
County,35059,White,44,2020-10-25,0,0,2023-04-08
County,35059,White,45,2020-11-01,0,0,2023-04-08
County,35059,White,46,2020-11-08,0,0,2023-04-08
County,35059,White,47,2020-11-15,0,0.333333333333333,2023-04-08
County,35059,White,48,2020-11-22,0,0,2023-04-08
County,35059,White,49,2020-11-29,0,0,2023-04-08
County,35059,White,50,2020-12-06,0,0,2023-04-08
County,35059,White,51,2020-12-13,0,0.333333333333333,2023-04-08
County,35059,White,52,2020-12-20,0,0,2023-04-08
County,35059,White,53,2020-12-27,0,0,2023-04-08
County,35059,White,54,2021-01-03,0,0,2023-04-08
County,35059,White,55,2021-01-10,0,0.333333333333333,2023-04-08
County,35059,White,56,2021-01-17,0,0,2023-04-08
County,35059,White,57,2021-01-24,0,0,2023-04-08
County,35059,White,58,2021-01-31,1,0,2023-04-08
County,35059,White,59,2021-02-07,0,0.333333333333333,2023-04-08
County,35059,White,60,2021-02-14,0,0.333333333333333,2023-04-08
County,35059,White,61,2021-02-21,0,0.666666666666667,2023-04-08
County,35059,White,62,2021-02-28,0,0.666666666666667,2023-04-08
County,35059,White,63,2021-03-07,0,0,2023-04-08
County,35059,White,64,2021-03-14,0,0.666666666666667,2023-04-08
County,35059,White,65,2021-03-21,0,0,2023-04-08
County,35059,White,66,2021-03-28,0,0,2023-04-08
County,35059,White,67,2021-04-04,0,0.333333333333333,2023-04-08
County,35059,White,68,2021-04-11,0,0,2023-04-08
County,35059,White,69,2021-04-18,0,0,2023-04-08
County,35059,White,70,2021-04-25,0,0,2023-04-08
County,35059,White,71,2021-05-02,0,0.333333333333333,2023-04-08
County,35059,White,72,2021-05-09,0,0,2023-04-08
County,35059,White,73,2021-05-16,0,0,2023-04-08
County,35059,White,74,2021-05-23,0,0,2023-04-08
County,35059,White,75,2021-05-30,0,0.333333333333333,2023-04-08
County,35059,White,76,2021-06-06,0,0,2023-04-08
County,35059,White,77,2021-06-13,1,0,2023-04-08
County,35059,White,78,2021-06-20,0,0.333333333333333,2023-04-08
County,35059,White,79,2021-06-27,0,0,2023-04-08
County,35059,White,80,2021-07-04,0,0,2023-04-08
County,35059,White,81,2021-07-11,0,0,2023-04-08
