type,GEOID,racial_majority,month,filings_2020,filings_avg,filings_avg_prepandemic_baseline,last_updated
Census Tract,25017310500,White,01/2021,0,0,0,
Census Tract,25017310500,White,02/2021,0,0,0,
Census Tract,25017310500,White,03/2021,0,0,0,
Census Tract,25017310500,White,04/2021,0,0,0,
Census Tract,25017310500,White,05/2021,0,0,0,
Census Tract,25017310500,White,06/2021,0,0,0,
Census Tract,25017310500,White,07/2021,0,0,0,
Census Tract,25017310500,White,08/2021,0,0,0,
Census Tract,25017310500,White,09/2021,0,0,0,
Census Tract,25017310500,White,10/2021,0,0,0,
Census Tract,25017310500,White,11/2021,0,0,0,
Census Tract,25017310500,White,12/2021,0,0,0,
Census Tract,25017310500,White,01/2022,0,0,0,
Census Tract,25017310500,White,02/2022,0,0,0,
Census Tract,25017310500,White,03/2022,0,0,0,
Census Tract,25017310500,White,04/2022,0,0,0,
Census Tract,25017310500,White,05/2022,0,0,0,
Census Tract,25017310500,White,06/2022,0,0,0,
Census Tract,25017310500,White,07/2022,0,0,0,
Census Tract,25017310500,White,08/2022,0,0,0,
Census Tract,25017310500,White,09/2022,0,0,0,
Census Tract,25017310500,White,10/2022,0,0,0,
Census Tract,25017310500,White,11/2022,0,0,0,
Census Tract,25017310500,White,12/2022,0,0,0,
Census Tract,25017310500,White,01/2023,0,0,0,
Census Tract,25017310500,White,02/2023,0,0,0,
Census Tract,25017310500,White,03/2023,0,0,0,
Census Tract,25017310500,White,04/2023,0,0,0,
Census Tract,25017310500,White,05/2023,0,0,0,
Census Tract,25017310500,White,06/2023,0,0,0,
Census Tract,25017310500,White,07/2023,0,0,0,
Census Tract,25017310500,White,08/2023,0,0,0,
Census Tract,25017310500,White,09/2023,0,0,0,
Census Tract,25017310500,White,10/2023,0,0,0,
Census Tract,25017310500,White,11/2023,0,0,0,2023-11-04
Census Tract,25017310601,White,01/2020,0,0,0,
Census Tract,25017310601,White,02/2020,0,0,0,
Census Tract,25017310601,White,03/2020,0,0,0,
Census Tract,25017310601,White,04/2020,0,0,0,
Census Tract,25017310601,White,05/2020,0,0,0,
Census Tract,25017310601,White,06/2020,0,0,0,
Census Tract,25017310601,White,07/2020,0,0,0,
Census Tract,25017310601,White,08/2020,0,0,0,
Census Tract,25017310601,White,09/2020,0,0,0,
Census Tract,25017310601,White,10/2020,0,0,0,
Census Tract,25017310601,White,11/2020,0,0,0,
Census Tract,25017310601,White,12/2020,0,0,0,
Census Tract,25017310601,White,01/2021,0,0,0,
Census Tract,25017310601,White,02/2021,0,0,0,
Census Tract,25017310601,White,03/2021,0,0,0,
Census Tract,25017310601,White,04/2021,0,0,0,
Census Tract,25017310601,White,05/2021,0,0,0,
Census Tract,25017310601,White,06/2021,0,0,0,
Census Tract,25017310601,White,07/2021,0,0,0,
Census Tract,25017310601,White,08/2021,0,0,0,
Census Tract,25017310601,White,09/2021,0,0,0,
Census Tract,25017310601,White,10/2021,0,0,0,
Census Tract,25017310601,White,11/2021,0,0,0,
Census Tract,25017310601,White,12/2021,0,0,0,
Census Tract,25017310601,White,01/2022,0,0,0,
Census Tract,25017310601,White,02/2022,0,0,0,
Census Tract,25017310601,White,03/2022,0,0,0,
Census Tract,25017310601,White,04/2022,0,0,0,
Census Tract,25017310601,White,05/2022,0,0,0,
Census Tract,25017310601,White,06/2022,0,0,0,
Census Tract,25017310601,White,07/2022,0,0,0,
Census Tract,25017310601,White,08/2022,0,0,0,
Census Tract,25017310601,White,09/2022,0,0,0,
Census Tract,25017310601,White,10/2022,0,0,0,
Census Tract,25017310601,White,11/2022,0,0,0,
Census Tract,25017310601,White,12/2022,0,0,0,
Census Tract,25017310601,White,01/2023,0,0,0,
Census Tract,25017310601,White,02/2023,0,0,0,
Census Tract,25017310601,White,03/2023,0,0,0,
Census Tract,25017310601,White,04/2023,0,0,0,
Census Tract,25017310601,White,05/2023,0,0,0,
Census Tract,25017310601,White,06/2023,0,0,0,
Census Tract,25017310601,White,07/2023,0,0,0,
Census Tract,25017310601,White,08/2023,0,0,0,
Census Tract,25017310601,White,09/2023,0,0,0,
Census Tract,25017310601,White,10/2023,0,0,0,
Census Tract,25017310601,White,11/2023,0,0,0,2023-11-04
Census Tract,25017310602,White,01/2020,0,0,0,
Census Tract,25017310602,White,02/2020,0,0,0,
Census Tract,25017310602,White,03/2020,0,0,0,
Census Tract,25017310602,White,04/2020,0,0,0,
Census Tract,25017310602,White,05/2020,0,0,0,
Census Tract,25017310602,White,06/2020,0,0,0,
Census Tract,25017310602,White,07/2020,0,0,0,
Census Tract,25017310602,White,08/2020,0,0,0,
Census Tract,25017310602,White,09/2020,0,0,0,
Census Tract,25017310602,White,10/2020,0,0,0,
Census Tract,25017310602,White,11/2020,0,0,0,
Census Tract,25017310602,White,12/2020,0,0,0,
Census Tract,25017310602,White,01/2021,0,0,0,
Census Tract,25017310602,White,02/2021,0,0,0,
Census Tract,25017310602,White,03/2021,0,0,0,
Census Tract,25017310602,White,04/2021,0,0,0,
Census Tract,25017310602,White,05/2021,0,0,0,
Census Tract,25017310602,White,06/2021,0,0,0,
Census Tract,25017310602,White,07/2021,0,0,0,
Census Tract,25017310602,White,08/2021,0,0,0,
Census Tract,25017310602,White,09/2021,0,0,0,
Census Tract,25017310602,White,10/2021,0,0,0,
Census Tract,25017310602,White,11/2021,0,0,0,
Census Tract,25017310602,White,12/2021,0,0,0,
Census Tract,25017310602,White,01/2022,0,0,0,
Census Tract,25017310602,White,02/2022,0,0,0,
Census Tract,25017310602,White,03/2022,0,0,0,
Census Tract,25017310602,White,04/2022,0,0,0,
Census Tract,25017310602,White,05/2022,0,0,0,
Census Tract,25017310602,White,06/2022,0,0,0,
Census Tract,25017310602,White,07/2022,0,0,0,
Census Tract,25017310602,White,08/2022,0,0,0,
Census Tract,25017310602,White,09/2022,0,0,0,
Census Tract,25017310602,White,10/2022,0,0,0,
Census Tract,25017310602,White,11/2022,0,0,0,
Census Tract,25017310602,White,12/2022,0,0,0,
Census Tract,25017310602,White,01/2023,0,0,0,
Census Tract,25017310602,White,02/2023,0,0,0,
Census Tract,25017310602,White,03/2023,0,0,0,
Census Tract,25017310602,White,04/2023,0,0,0,
Census Tract,25017310602,White,05/2023,0,0,0,
Census Tract,25017310602,White,06/2023,0,0,0,
Census Tract,25017310602,White,07/2023,0,0,0,
Census Tract,25017310602,White,08/2023,0,0,0,
Census Tract,25017310602,White,09/2023,0,0,0,
Census Tract,25017310602,White,10/2023,0,0,0,
Census Tract,25017310602,White,11/2023,0,0,0,2023-11-04
Census Tract,25017310700,Other,01/2020,0,0,0,
Census Tract,25017310700,Other,02/2020,0,0,0,
Census Tract,25017310700,Other,03/2020,0,0,0,
Census Tract,25017310700,Other,04/2020,0,0,0,
Census Tract,25017310700,Other,05/2020,0,0,0,
Census Tract,25017310700,Other,06/2020,0,0,0,
Census Tract,25017310700,Other,07/2020,0,0,0,
Census Tract,25017310700,Other,08/2020,0,0,0,
Census Tract,25017310700,Other,09/2020,0,0,0,
Census Tract,25017310700,Other,10/2020,0,0,0,
Census Tract,25017310700,Other,11/2020,0,0,0,
Census Tract,25017310700,Other,12/2020,0,0,0,
Census Tract,25017310700,Other,01/2021,0,0,0,
Census Tract,25017310700,Other,02/2021,0,0,0,
Census Tract,25017310700,Other,03/2021,0,0,0,
Census Tract,25017310700,Other,04/2021,0,0,0,
Census Tract,25017310700,Other,05/2021,0,0,0,
Census Tract,25017310700,Other,06/2021,0,0,0,
Census Tract,25017310700,Other,07/2021,0,0,0,
Census Tract,25017310700,Other,08/2021,0,0,0,
Census Tract,25017310700,Other,09/2021,0,0,0,
Census Tract,25017310700,Other,10/2021,0,0,0,
Census Tract,25017310700,Other,11/2021,0,0,0,
Census Tract,25017310700,Other,12/2021,0,0,0,
Census Tract,25017310700,Other,01/2022,0,0,0,
