type,GEOID,racial_majority,month,filings_2020,filings_avg,filings_avg_prepandemic_baseline,last_updated
Zip Code,78760,Other,09/2021,0,0,0,
Zip Code,78760,Other,10/2021,0,0,0,
Zip Code,78760,Other,11/2021,0,0,0,
Zip Code,78760,Other,12/2021,0,0,0.167,
Zip Code,78760,Other,01/2022,0,0,0,
Zip Code,78760,Other,02/2022,0,0,0.167,
Zip Code,78760,Other,03/2022,0,0,0.167,
Zip Code,78760,Other,04/2022,0,4,0,
Zip Code,78760,Other,05/2022,0,0,0,
Zip Code,78760,Other,06/2022,0,0,0.167,
Zip Code,78760,Other,07/2022,0,0,0.167,
Zip Code,78760,Other,08/2022,0,0,0,
Zip Code,78760,Other,09/2022,0,0,0,
Zip Code,78760,Other,10/2022,0,0,0,
Zip Code,78760,Other,11/2022,0,0,0,
Zip Code,78760,Other,12/2022,0,0,0.167,
Zip Code,78760,Other,01/2023,0,0,0,
Zip Code,78760,Other,02/2023,0,0,0.167,
Zip Code,78760,Other,03/2023,0,0,0.167,
Zip Code,78760,Other,04/2023,0,4,0,
Zip Code,78760,Other,05/2023,0,0,0,
Zip Code,78760,Other,06/2023,0,0,0.167,
Zip Code,78760,Other,07/2023,0,0,0.167,
Zip Code,78760,Other,08/2023,0,0,0,
Zip Code,78760,Other,09/2023,0,0,0,
Zip Code,78760,Other,10/2023,0,0,0,
Zip Code,78760,Other,11/2023,0,0,0,
Zip Code,78760,Other,12/2023,0,0,0.167,
Zip Code,78760,Other,01/2024,0,0,0,
Zip Code,78760,Other,02/2024,0,0,0.167,
Zip Code,78760,Other,03/2024,0,0,0.167,
Zip Code,78760,Other,04/2024,0,4,0,
Zip Code,78760,Other,05/2024,0,0,0,
Zip Code,78760,Other,06/2024,0,0,0.167,
Zip Code,78760,Other,07/2024,0,0,0.167,
Zip Code,78760,Other,08/2024,0,0,0,
Zip Code,78760,Other,09/2024,0,0,0,
Zip Code,78760,Other,10/2024,0,0,0,
Zip Code,78760,Other,11/2024,0,0,0,
Zip Code,78760,Other,12/2024,0,0,0.167,
Zip Code,78760,Other,01/2025,0,0,0,
Zip Code,78760,Other,02/2025,0,0,0.167,
Zip Code,78760,Other,03/2025,0,0,0.167,
Zip Code,78760,Other,04/2025,0,4,0,
Zip Code,78760,Other,05/2025,0,0,0,
Zip Code,78760,Other,06/2025,0,0,0.167,
Zip Code,78760,Other,07/2025,0,0,0.167,
Zip Code,78760,Other,08/2025,0,0,0,2025-08-16
Zip Code,78761,Other,01/2020,0,0,0,
Zip Code,78761,Other,02/2020,0,0,0,
Zip Code,78761,Other,03/2020,0,0.5,0.167,
Zip Code,78761,Other,04/2020,0,0,0.167,
Zip Code,78761,Other,05/2020,0,0,0,
Zip Code,78761,Other,06/2020,0,0,0,
Zip Code,78761,Other,07/2020,0,0,0,
Zip Code,78761,Other,08/2020,0,0,0,
Zip Code,78761,Other,09/2020,0,0,0,
Zip Code,78761,Other,10/2020,0,0,0.333,
Zip Code,78761,Other,11/2020,0,0,0,
Zip Code,78761,Other,12/2020,0,0,0,
Zip Code,78761,Other,01/2021,0,0,0,
Zip Code,78761,Other,02/2021,0,0,0,
Zip Code,78761,Other,03/2021,0,0.5,0.167,
Zip Code,78761,Other,04/2021,0,0,0.167,
Zip Code,78761,Other,05/2021,0,0,0,
Zip Code,78761,Other,06/2021,0,0,0,
Zip Code,78761,Other,07/2021,0,0,0,
Zip Code,78761,Other,08/2021,0,0,0,
Zip Code,78761,Other,09/2021,0,0,0,
Zip Code,78761,Other,10/2021,0,0,0.333,
Zip Code,78761,Other,11/2021,0,0,0,
Zip Code,78761,Other,12/2021,0,0,0,
Zip Code,78761,Other,01/2022,0,0,0,
Zip Code,78761,Other,02/2022,0,0,0,
Zip Code,78761,Other,03/2022,0,0.5,0.167,
Zip Code,78761,Other,04/2022,0,0,0.167,
Zip Code,78761,Other,05/2022,0,0,0,
Zip Code,78761,Other,06/2022,0,0,0,
Zip Code,78761,Other,07/2022,0,0,0,
Zip Code,78761,Other,08/2022,0,0,0,
Zip Code,78761,Other,09/2022,0,0,0,
Zip Code,78761,Other,10/2022,0,0,0.333,
Zip Code,78761,Other,11/2022,0,0,0,
Zip Code,78761,Other,12/2022,0,0,0,
Zip Code,78761,Other,01/2023,0,0,0,
Zip Code,78761,Other,02/2023,0,0,0,
Zip Code,78761,Other,03/2023,0,0.5,0.167,
Zip Code,78761,Other,04/2023,0,0,0.167,
Zip Code,78761,Other,05/2023,0,0,0,
Zip Code,78761,Other,06/2023,0,0,0,
Zip Code,78761,Other,07/2023,0,0,0,
Zip Code,78761,Other,08/2023,0,0,0,
Zip Code,78761,Other,09/2023,0,0,0,
Zip Code,78761,Other,10/2023,0,0,0.333,
Zip Code,78761,Other,11/2023,0,0,0,
Zip Code,78761,Other,12/2023,0,0,0,
Zip Code,78761,Other,01/2024,0,0,0,
Zip Code,78761,Other,02/2024,0,0,0,
Zip Code,78761,Other,03/2024,0,0.5,0.167,
Zip Code,78761,Other,04/2024,0,0,0.167,
Zip Code,78761,Other,05/2024,0,0,0,
Zip Code,78761,Other,06/2024,0,0,0,
Zip Code,78761,Other,07/2024,0,0,0,
Zip Code,78761,Other,08/2024,0,0,0,
Zip Code,78761,Other,09/2024,0,0,0,
Zip Code,78761,Other,10/2024,0,0,0.333,
Zip Code,78761,Other,11/2024,0,0,0,
Zip Code,78761,Other,12/2024,0,0,0,
Zip Code,78761,Other,01/2025,0,0,0,
Zip Code,78761,Other,02/2025,0,0,0,
Zip Code,78761,Other,03/2025,0,0.5,0.167,
Zip Code,78761,Other,04/2025,0,0,0.167,
Zip Code,78761,Other,05/2025,0,0,0,
Zip Code,78761,Other,06/2025,0,0,0,
Zip Code,78761,Other,07/2025,0,0,0,
Zip Code,78761,Other,08/2025,0,0,0,2025-08-16
Zip Code,78762,Other,01/2020,0,0,0,
Zip Code,78762,Other,02/2020,0,0,0,
Zip Code,78762,Other,03/2020,0,0,0,
Zip Code,78762,Other,04/2020,0,0,0,
Zip Code,78762,Other,05/2020,0,0,0,
Zip Code,78762,Other,06/2020,0,0,0,
Zip Code,78762,Other,07/2020,0,0,0.167,
Zip Code,78762,Other,08/2020,0,0,0,
Zip Code,78762,Other,09/2020,0,0,0,
Zip Code,78762,Other,10/2020,0,0,0,
Zip Code,78762,Other,11/2020,0,0,0,
Zip Code,78762,Other,12/2020,0,0,0,
Zip Code,78762,Other,01/2021,0,0,0,
Zip Code,78762,Other,02/2021,0,0,0,
Zip Code,78762,Other,03/2021,0,0,0,
Zip Code,78762,Other,04/2021,0,0,0,
Zip Code,78762,Other,05/2021,0,0,0,
Zip Code,78762,Other,06/2021,0,0,0,
Zip Code,78762,Other,07/2021,0,0,0.167,
Zip Code,78762,Other,08/2021,0,0,0,
Zip Code,78762,Other,09/2021,0,0,0,
Zip Code,78762,Other,10/2021,0,0,0,
Zip Code,78762,Other,11/2021,0,0,0,
Zip Code,78762,Other,12/2021,0,0,0,
Zip Code,78762,Other,01/2022,0,0,0,
Zip Code,78762,Other,02/2022,0,0,0,
Zip Code,78762,Other,03/2022,0,0,0,
Zip Code,78762,Other,04/2022,0,0,0,
Zip Code,78762,Other,05/2022,0,0,0,
Zip Code,78762,Other,06/2022,0,0,0,
Zip Code,78762,Other,07/2022,0,0,0.167,
Zip Code,78762,Other,08/2022,0,0,0,
Zip Code,78762,Other,09/2022,0,0,0,
Zip Code,78762,Other,10/2022,0,0,0,
Zip Code,78762,Other,11/2022,0,0,0,
Zip Code,78762,Other,12/2022,0,0,0,
Zip Code,78762,Other,01/2023,0,0,0,
Zip Code,78762,Other,02/2023,0,0,0,
Zip Code,78762,Other,03/2023,0,0,0,
Zip Code,78762,Other,04/2023,0,0,0,
Zip Code,78762,Other,05/2023,0,0,0,
Zip Code,78762,Other,06/2023,0,0,0,
Zip Code,78762,Other,07/2023,0,0,0.167,
Zip Code,78762,Other,08/2023,0,0,0,
Zip Code,78762,Other,09/2023,0,0,0,
Zip Code,78762,Other,10/2023,0,0,0,
Zip Code,78762,Other,11/2023,0,0,0,
Zip Code,78762,Other,12/2023,0,0,0,
Zip Code,78762,Other,01/2024,0,0,0,
Zip Code,78762,Other,02/2024,0,0,0,
Zip Code,78762,Other,03/2024,0,0,0,
Zip Code,78762,Other,04/2024,0,0,0,
Zip Code,78762,Other,05/2024,0,0,0,
Zip Code,78762,Other,06/2024,0,0,0,
Zip Code,78762,Other,07/2024,0,0,0.167,
Zip Code,78762,Other,08/2024,0,0,0,
Zip Code,78762,Other,09/2024,0,0,0,
Zip Code,78762,Other,10/2024,0,0,0,
Zip Code,78762,Other,11/2024,0,0,0,
Zip Code,78762,Other,12/2024,0,0,0,
Zip Code,78762,Other,01/2025,0,0,0,
Zip Code,78762,Other,02/2025,0,0,0,
Zip Code,78762,Other,03/2025,0,0,0,
Zip Code,78762,Other,04/2025,0,0,0,
Zip Code,78762,Other,05/2025,0,0,0,
Zip Code,78762,Other,06/2025,0,0,0,
Zip Code,78762,Other,07/2025,0,0,0.167,
Zip Code,78762,Other,08/2025,0,0,0,2025-08-16
Zip Code,78763,Other,01/2020,0,0,0,
Zip Code,78763,Other,02/2020,0,0,0,
Zip Code,78763,Other,03/2020,0,0,0,
Zip Code,78763,Other,04/2020,0,0,0,
Zip Code,78763,Other,05/2020,0,0,0,
Zip Code,78763,Other,06/2020,0,0,0,
Zip Code,78763,Other,07/2020,0,0,0,
Zip Code,78763,Other,08/2020,0,0,0,
Zip Code,78763,Other,09/2020,0,0,0,
Zip Code,78763,Other,10/2020,0,0,0,
Zip Code,78763,Other,11/2020,0,0,0,
Zip Code,78763,Other,12/2020,0,0,0,
Zip Code,78763,Other,01/2021,0,0,0,
Zip Code,78763,Other,02/2021,0,0,0,
Zip Code,78763,Other,03/2021,0,0,0,
Zip Code,78763,Other,04/2021,0,0,0,
Zip Code,78763,Other,05/2021,0,0,0,
Zip Code,78763,Other,06/2021,0,0,0,
Zip Code,78763,Other,07/2021,0,0,0,
Zip Code,78763,Other,08/2021,0,0,0,
Zip Code,78763,Other,09/2021,0,0,0,
Zip Code,78763,Other,10/2021,0,0,0,
Zip Code,78763,Other,11/2021,0,0,0,
Zip Code,78763,Other,12/2021,0,0,0,
Zip Code,78763,Other,01/2022,0,0,0,
Zip Code,78763,Other,02/2022,0,0,0,
Zip Code,78763,Other,03/2022,0,0,0,
Zip Code,78763,Other,04/2022,0,0,0,
Zip Code,78763,Other,05/2022,0,0,0,
Zip Code,78763,Other,06/2022,0,0,0,
Zip Code,78763,Other,07/2022,0,0,0,
Zip Code,78763,Other,08/2022,0,0,0,
Zip Code,78763,Other,09/2022,0,0,0,
Zip Code,78763,Other,10/2022,0,0,0,
Zip Code,78763,Other,11/2022,0,0,0,
Zip Code,78763,Other,12/2022,0,0,0,
Zip Code,78763,Other,01/2023,0,0,0,
Zip Code,78763,Other,02/2023,0,0,0,
Zip Code,78763,Other,03/2023,0,0,0,
Zip Code,78763,Other,04/2023,0,0,0,
Zip Code,78763,Other,05/2023,0,0,0,
Zip Code,78763,Other,06/2023,0,0,0,
Zip Code,78763,Other,07/2023,0,0,0,
Zip Code,78763,Other,08/2023,0,0,0,
Zip Code,78763,Other,09/2023,0,0,0,
Zip Code,78763,Other,10/2023,0,0,0,
Zip Code,78763,Other,11/2023,0,0,0,
Zip Code,78763,Other,12/2023,0,0,0,
Zip Code,78763,Other,01/2024,0,0,0,
Zip Code,78763,Other,02/2024,0,0,0,
Zip Code,78763,Other,03/2024,0,0,0,
Zip Code,78763,Other,04/2024,0,0,0,
Zip Code,78763,Other,05/2024,0,0,0,
Zip Code,78763,Other,06/2024,0,0,0,
Zip Code,78763,Other,07/2024,0,0,0,
Zip Code,78763,Other,08/2024,0,0,0,
Zip Code,78763,Other,09/2024,0,0,0,
Zip Code,78763,Other,10/2024,0,0,0,
Zip Code,78763,Other,11/2024,0,0,0,
Zip Code,78763,Other,12/2024,0,0,0,
Zip Code,78763,Other,01/2025,0,0,0,
Zip Code,78763,Other,02/2025,0,0,0,
Zip Code,78763,Other,03/2025,0,0,0,
Zip Code,78763,Other,04/2025,0,0,0,
Zip Code,78763,Other,05/2025,0,0,0,
Zip Code,78763,Other,06/2025,0,0,0,
Zip Code,78763,Other,07/2025,0,0,0,
Zip Code,78763,Other,08/2025,0,0,0,2025-08-16
Zip Code,78764,Other,01/2020,0,0,0,
Zip Code,78764,Other,02/2020,0,0,0,
Zip Code,78764,Other,03/2020,0,0,0,
Zip Code,78764,Other,04/2020,0,0,0,
Zip Code,78764,Other,05/2020,0,0,0,
Zip Code,78764,Other,06/2020,0,0,0,
Zip Code,78764,Other,07/2020,0,0,0,
Zip Code,78764,Other,08/2020,0,0.5,0,
Zip Code,78764,Other,09/2020,0,0,0,
Zip Code,78764,Other,10/2020,0,0,0,
Zip Code,78764,Other,11/2020,0,0,0,
Zip Code,78764,Other,12/2020,0,0,0,
Zip Code,78764,Other,01/2021,0,0,0,
Zip Code,78764,Other,02/2021,0,0,0,
Zip Code,78764,Other,03/2021,0,0,0,
Zip Code,78764,Other,04/2021,0,0,0,
Zip Code,78764,Other,05/2021,0,0,0,
Zip Code,78764,Other,06/2021,0,0,0,
Zip Code,78764,Other,07/2021,0,0,0,
Zip Code,78764,Other,08/2021,0,0.5,0,
Zip Code,78764,Other,09/2021,0,0,0,
Zip Code,78764,Other,10/2021,0,0,0,
Zip Code,78764,Other,11/2021,0,0,0,
Zip Code,78764,Other,12/2021,0,0,0,
Zip Code,78764,Other,01/2022,0,0,0,
Zip Code,78764,Other,02/2022,0,0,0,
Zip Code,78764,Other,03/2022,0,0,0,
Zip Code,78764,Other,04/2022,0,0,0,
Zip Code,78764,Other,05/2022,0,0,0,
Zip Code,78764,Other,06/2022,0,0,0,
Zip Code,78764,Other,07/2022,0,0,0,
Zip Code,78764,Other,08/2022,0,0.5,0,
Zip Code,78764,Other,09/2022,0,0,0,
Zip Code,78764,Other,10/2022,0,0,0,
Zip Code,78764,Other,11/2022,0,0,0,
Zip Code,78764,Other,12/2022,0,0,0,
Zip Code,78764,Other,01/2023,0,0,0,
Zip Code,78764,Other,02/2023,0,0,0,
Zip Code,78764,Other,03/2023,0,0,0,
Zip Code,78764,Other,04/2023,0,0,0,
Zip Code,78764,Other,05/2023,0,0,0,
Zip Code,78764,Other,06/2023,0,0,0,
Zip Code,78764,Other,07/2023,0,0,0,
Zip Code,78764,Other,08/2023,0,0.5,0,
Zip Code,78764,Other,09/2023,0,0,0,
Zip Code,78764,Other,10/2023,0,0,0,
Zip Code,78764,Other,11/2023,0,0,0,
Zip Code,78764,Other,12/2023,0,0,0,
Zip Code,78764,Other,01/2024,0,0,0,
Zip Code,78764,Other,02/2024,0,0,0,
Zip Code,78764,Other,03/2024,0,0,0,
Zip Code,78764,Other,04/2024,0,0,0,
Zip Code,78764,Other,05/2024,0,0,0,
Zip Code,78764,Other,06/2024,0,0,0,
Zip Code,78764,Other,07/2024,0,0,0,
Zip Code,78764,Other,08/2024,0,0.5,0,
Zip Code,78764,Other,09/2024,0,0,0,
Zip Code,78764,Other,10/2024,0,0,0,
Zip Code,78764,Other,11/2024,0,0,0,
Zip Code,78764,Other,12/2024,0,0,0,
Zip Code,78764,Other,01/2025,0,0,0,
Zip Code,78764,Other,02/2025,0,0,0,
Zip Code,78764,Other,03/2025,0,0,0,
Zip Code,78764,Other,04/2025,0,0,0,
Zip Code,78764,Other,05/2025,0,0,0,
Zip Code,78764,Other,06/2025,0,0,0,
Zip Code,78764,Other,07/2025,0,0,0,
Zip Code,78764,Other,08/2025,0,0.5,0,2025-08-16
Zip Code,78765,Other,01/2020,0,0,0,
Zip Code,78765,Other,02/2020,0,0,0.167,
Zip Code,78765,Other,03/2020,0,0,0,
Zip Code,78765,Other,04/2020,0,0,0.167,
Zip Code,78765,Other,05/2020,0,0,0,
Zip Code,78765,Other,06/2020,0,0,0,
Zip Code,78765,Other,07/2020,0,0,0,
Zip Code,78765,Other,08/2020,0,0,0.167,
Zip Code,78765,Other,09/2020,0,0,0,
Zip Code,78765,Other,10/2020,0,0,0,
Zip Code,78765,Other,11/2020,0,0,0,
Zip Code,78765,Other,12/2020,0,0,0,
Zip Code,78765,Other,01/2021,0,0,0,
Zip Code,78765,Other,02/2021,0,0,0.167,
Zip Code,78765,Other,03/2021,0,0,0,
Zip Code,78765,Other,04/2021,0,0,0.167,
Zip Code,78765,Other,05/2021,0,0,0,
Zip Code,78765,Other,06/2021,0,0,0,
Zip Code,78765,Other,07/2021,0,0,0,
Zip Code,78765,Other,08/2021,0,0,0.167,
Zip Code,78765,Other,09/2021,0,0,0,
Zip Code,78765,Other,10/2021,0,0,0,
Zip Code,78765,Other,11/2021,0,0,0,
Zip Code,78765,Other,12/2021,0,0,0,
Zip Code,78765,Other,01/2022,0,0,0,
Zip Code,78765,Other,02/2022,0,0,0.167,
Zip Code,78765,Other,03/2022,0,0,0,
Zip Code,78765,Other,04/2022,0,0,0.167,
Zip Code,78765,Other,05/2022,0,0,0,
Zip Code,78765,Other,06/2022,0,0,0,
Zip Code,78765,Other,07/2022,0,0,0,
Zip Code,78765,Other,08/2022,0,0,0.167,
Zip Code,78765,Other,09/2022,0,0,0,
Zip Code,78765,Other,10/2022,0,0,0,
Zip Code,78765,Other,11/2022,0,0,0,
Zip Code,78765,Other,12/2022,0,0,0,
Zip Code,78765,Other,01/2023,0,0,0,
Zip Code,78765,Other,02/2023,0,0,0.167,
Zip Code,78765,Other,03/2023,0,0,0,
Zip Code,78765,Other,04/2023,0,0,0.167,
Zip Code,78765,Other,05/2023,0,0,0,
Zip Code,78765,Other,06/2023,0,0,0,
Zip Code,78765,Other,07/2023,0,0,0,
Zip Code,78765,Other,08/2023,0,0,0.167,
Zip Code,78765,Other,09/2023,0,0,0,
Zip Code,78765,Other,10/2023,0,0,0,
Zip Code,78765,Other,11/2023,0,0,0,
Zip Code,78765,Other,12/2023,0,0,0,
Zip Code,78765,Other,01/2024,0,0,0,
Zip Code,78765,Other,02/2024,0,0,0.167,
Zip Code,78765,Other,03/2024,0,0,0,
Zip Code,78765,Other,04/2024,0,0,0.167,
Zip Code,78765,Other,05/2024,0,0,0,
Zip Code,78765,Other,06/2024,0,0,0,
Zip Code,78765,Other,07/2024,0,0,0,
Zip Code,78765,Other,08/2024,0,0,0.167,
Zip Code,78765,Other,09/2024,0,0,0,
Zip Code,78765,Other,10/2024,0,0,0,
Zip Code,78765,Other,11/2024,0,0,0,
Zip Code,78765,Other,12/2024,0,0,0,
Zip Code,78765,Other,01/2025,0,0,0,
Zip Code,78765,Other,02/2025,0,0,0.167,
Zip Code,78765,Other,03/2025,0,0,0,
Zip Code,78765,Other,04/2025,0,0,0.167,
Zip Code,78765,Other,05/2025,0,0,0,
Zip Code,78765,Other,06/2025,0,0,0,
Zip Code,78765,Other,07/2025,0,0,0,
Zip Code,78765,Other,08/2025,0,0,0,2025-08-16
Zip Code,78766,Other,01/2020,0,0,0,
Zip Code,78766,Other,02/2020,0,0,0,
Zip Code,78766,Other,03/2020,0,0,0,
Zip Code,78766,Other,04/2020,0,0,0,
Zip Code,78766,Other,05/2020,0,0,0,
Zip Code,78766,Other,06/2020,0,0,0,
Zip Code,78766,Other,07/2020,0,0,0,
Zip Code,78766,Other,08/2020,0,0,0,
Zip Code,78766,Other,09/2020,0,0,0,
Zip Code,78766,Other,10/2020,0,0,0,
Zip Code,78766,Other,11/2020,0,0,0,
Zip Code,78766,Other,12/2020,0,0,0,
Zip Code,78766,Other,01/2021,0,0,0,
Zip Code,78766,Other,02/2021,0,0,0,
Zip Code,78766,Other,03/2021,0,0,0,
Zip Code,78766,Other,04/2021,0,0,0,
Zip Code,78766,Other,05/2021,0,0,0,
Zip Code,78766,Other,06/2021,0,0,0,
Zip Code,78766,Other,07/2021,0,0,0,
Zip Code,78766,Other,08/2021,0,0,0,
Zip Code,78766,Other,09/2021,0,0,0,
Zip Code,78766,Other,10/2021,0,0,0,
Zip Code,78766,Other,11/2021,0,0,0,
Zip Code,78766,Other,12/2021,0,0,0,
Zip Code,78766,Other,01/2022,0,0,0,
Zip Code,78766,Other,02/2022,0,0,0,
Zip Code,78766,Other,03/2022,0,0,0,
Zip Code,78766,Other,04/2022,0,0,0,
Zip Code,78766,Other,05/2022,0,0,0,
Zip Code,78766,Other,06/2022,0,0,0,
Zip Code,78766,Other,07/2022,0,0,0,
Zip Code,78766,Other,08/2022,0,0,0,
Zip Code,78766,Other,09/2022,0,0,0,
Zip Code,78766,Other,10/2022,0,0,0,
Zip Code,78766,Other,11/2022,0,0,0,
Zip Code,78766,Other,12/2022,0,0,0,
Zip Code,78766,Other,01/2023,0,0,0,
Zip Code,78766,Other,02/2023,0,0,0,
Zip Code,78766,Other,03/2023,0,0,0,
Zip Code,78766,Other,04/2023,0,0,0,
Zip Code,78766,Other,05/2023,0,0,0,
Zip Code,78766,Other,06/2023,0,0,0,
Zip Code,78766,Other,07/2023,0,0,0,
Zip Code,78766,Other,08/2023,0,0,0,
Zip Code,78766,Other,09/2023,0,0,0,
Zip Code,78766,Other,10/2023,0,0,0,
Zip Code,78766,Other,11/2023,0,0,0,
Zip Code,78766,Other,12/2023,0,0,0,
Zip Code,78766,Other,01/2024,0,0,0,
Zip Code,78766,Other,02/2024,0,0,0,
Zip Code,78766,Other,03/2024,0,0,0,
Zip Code,78766,Other,04/2024,0,0,0,
Zip Code,78766,Other,05/2024,0,0,0,
Zip Code,78766,Other,06/2024,0,0,0,
Zip Code,78766,Other,07/2024,0,0,0,
Zip Code,78766,Other,08/2024,0,0,0,
Zip Code,78766,Other,09/2024,0,0,0,
Zip Code,78766,Other,10/2024,0,0,0,
Zip Code,78766,Other,11/2024,0,0,0,
Zip Code,78766,Other,12/2024,0,0,0,
Zip Code,78766,Other,01/2025,0,0,0,
Zip Code,78766,Other,02/2025,0,0,0,
Zip Code,78766,Other,03/2025,0,0,0,
Zip Code,78766,Other,04/2025,0,0,0,
Zip Code,78766,Other,05/2025,0,0,0,
Zip Code,78766,Other,06/2025,0,0,0,
Zip Code,78766,Other,07/2025,0,0,0,
Zip Code,78766,Other,08/2025,0,0,0,2025-08-16
Zip Code,78767,Other,01/2020,0,0,0,
Zip Code,78767,Other,02/2020,0,0,0,
Zip Code,78767,Other,03/2020,0,0,0,
Zip Code,78767,Other,04/2020,0,0,0,
Zip Code,78767,Other,05/2020,0,0,0.167,
Zip Code,78767,Other,06/2020,0,0,0,
Zip Code,78767,Other,07/2020,0,0,0,
Zip Code,78767,Other,08/2020,0,0,0,
Zip Code,78767,Other,09/2020,0,0,0,
Zip Code,78767,Other,10/2020,0,0,0,
Zip Code,78767,Other,11/2020,0,0,0,
Zip Code,78767,Other,12/2020,0,0,0,
Zip Code,78767,Other,01/2021,0,0,0,
Zip Code,78767,Other,02/2021,0,0,0,
Zip Code,78767,Other,03/2021,0,0,0,
Zip Code,78767,Other,04/2021,0,0,0,
Zip Code,78767,Other,05/2021,0,0,0.167,
Zip Code,78767,Other,06/2021,0,0,0,
Zip Code,78767,Other,07/2021,0,0,0,
Zip Code,78767,Other,08/2021,0,0,0,
Zip Code,78767,Other,09/2021,0,0,0,
Zip Code,78767,Other,10/2021,0,0,0,
Zip Code,78767,Other,11/2021,0,0,0,
Zip Code,78767,Other,12/2021,0,0,0,
Zip Code,78767,Other,01/2022,0,0,0,
Zip Code,78767,Other,02/2022,0,0,0,
Zip Code,78767,Other,03/2022,0,0,0,
Zip Code,78767,Other,04/2022,0,0,0,
Zip Code,78767,Other,05/2022,0,0,0.167,
Zip Code,78767,Other,06/2022,0,0,0,
Zip Code,78767,Other,07/2022,0,0,0,
Zip Code,78767,Other,08/2022,0,0,0,
Zip Code,78767,Other,09/2022,0,0,0,
Zip Code,78767,Other,10/2022,0,0,0,
Zip Code,78767,Other,11/2022,0,0,0,
Zip Code,78767,Other,12/2022,0,0,0,
Zip Code,78767,Other,01/2023,0,0,0,
Zip Code,78767,Other,02/2023,0,0,0,
Zip Code,78767,Other,03/2023,0,0,0,
Zip Code,78767,Other,04/2023,0,0,0,
Zip Code,78767,Other,05/2023,0,0,0.167,
Zip Code,78767,Other,06/2023,0,0,0,
Zip Code,78767,Other,07/2023,0,0,0,
Zip Code,78767,Other,08/2023,0,0,0,
Zip Code,78767,Other,09/2023,0,0,0,
Zip Code,78767,Other,10/2023,0,0,0,
Zip Code,78767,Other,11/2023,0,0,0,
Zip Code,78767,Other,12/2023,0,0,0,
Zip Code,78767,Other,01/2024,0,0,0,
Zip Code,78767,Other,02/2024,0,0,0,
Zip Code,78767,Other,03/2024,0,0,0,
Zip Code,78767,Other,04/2024,0,0,0,
Zip Code,78767,Other,05/2024,0,0,0.167,
Zip Code,78767,Other,06/2024,0,0,0,
Zip Code,78767,Other,07/2024,0,0,0,
Zip Code,78767,Other,08/2024,0,0,0,
Zip Code,78767,Other,09/2024,0,0,0,
Zip Code,78767,Other,10/2024,0,0,0,
Zip Code,78767,Other,11/2024,0,0,0,
Zip Code,78767,Other,12/2024,0,0,0,
Zip Code,78767,Other,01/2025,0,0,0,
Zip Code,78767,Other,02/2025,0,0,0,
Zip Code,78767,Other,03/2025,0,0,0,
Zip Code,78767,Other,04/2025,0,0,0,
Zip Code,78767,Other,05/2025,0,0,0.167,
Zip Code,78767,Other,06/2025,0,0,0,
Zip Code,78767,Other,07/2025,0,0,0,
Zip Code,78767,Other,08/2025,0,0,0,2025-08-16
Zip Code,78768,Other,01/2020,0,0,0,
Zip Code,78768,Other,02/2020,0,0,0,
Zip Code,78768,Other,03/2020,0,0,0.167,
Zip Code,78768,Other,04/2020,0,0,0,
Zip Code,78768,Other,05/2020,0,0,0,
Zip Code,78768,Other,06/2020,0,0,0.333,
Zip Code,78768,Other,07/2020,0,0,0,
Zip Code,78768,Other,08/2020,0,0,0,
Zip Code,78768,Other,09/2020,0,0,0.167,
Zip Code,78768,Other,10/2020,0,0,0,
Zip Code,78768,Other,11/2020,0,0,0,
Zip Code,78768,Other,12/2020,0,0,0,
Zip Code,78768,Other,01/2021,0,0,0,
Zip Code,78768,Other,02/2021,0,0,0,
Zip Code,78768,Other,03/2021,0,0,0.167,
Zip Code,78768,Other,04/2021,0,0,0,
Zip Code,78768,Other,05/2021,0,0,0,
Zip Code,78768,Other,06/2021,0,0,0.333,
Zip Code,78768,Other,07/2021,0,0,0,
Zip Code,78768,Other,08/2021,0,0,0,
Zip Code,78768,Other,09/2021,0,0,0.167,
Zip Code,78768,Other,10/2021,0,0,0,
Zip Code,78768,Other,11/2021,0,0,0,
Zip Code,78768,Other,12/2021,0,0,0,
Zip Code,78768,Other,01/2022,0,0,0,
Zip Code,78768,Other,02/2022,0,0,0,
Zip Code,78768,Other,03/2022,0,0,0.167,
Zip Code,78768,Other,04/2022,0,0,0,
Zip Code,78768,Other,05/2022,0,0,0,
Zip Code,78768,Other,06/2022,0,0,0.333,
Zip Code,78768,Other,07/2022,0,0,0,
Zip Code,78768,Other,08/2022,0,0,0,
Zip Code,78768,Other,09/2022,0,0,0.167,
Zip Code,78768,Other,10/2022,0,0,0,
Zip Code,78768,Other,11/2022,0,0,0,
Zip Code,78768,Other,12/2022,0,0,0,
Zip Code,78768,Other,01/2023,0,0,0,
Zip Code,78768,Other,02/2023,0,0,0,
Zip Code,78768,Other,03/2023,0,0,0.167,
Zip Code,78768,Other,04/2023,0,0,0,
Zip Code,78768,Other,05/2023,0,0,0,
Zip Code,78768,Other,06/2023,0,0,0.333,
Zip Code,78768,Other,07/2023,0,0,0,
Zip Code,78768,Other,08/2023,0,0,0,
Zip Code,78768,Other,09/2023,0,0,0.167,
Zip Code,78768,Other,10/2023,0,0,0,
Zip Code,78768,Other,11/2023,0,0,0,
